# problem=TPV104
# author=Surendra Nadh Somala
# Date = 03/03/2021; time = 11:01:37
# code=SPECFEM3D_Cartesian (split nodes)
# code_version=1.1
# element_size=4000 m  (w/ 5 GLL nodes)
# time_step=  0.2500000E-02
# location=faultst-120dp075
# Column #1 = Time (s)
# Column #2 = horizontal right-lateral slip (m)
# Column #3 = horizontal right-lateral slip rate (m/s)
# Column #4 = horizontal right-lateral shear stress (MPa)
# Column #5 = vertical up-dip slip (m)
# Column #6 = vertical up-dip slip rate (m/s)
# Column #7 = vertical up-dip shear stress (MPa)
# Column #8 = normal stress (MPa)
# Column #9 = log10 of state variable (log-seconds)
#
# The line below lists the names of the data fields:
# t h-slip h-slip-rate h-shear-stress v-slip v-slip-rate v-shear-stress n-stress log-theta
#
  0.2500000E-02  0.0000000E+00  0.9548065E-05  0.7499809E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03  0.9205810E+01
  0.5000000E-02  0.4774032E-07  0.9539481E-05  0.7500191E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03  0.9205810E+01
  0.7500000E-02  0.4769740E-07  0.9563728E-05  0.7499808E+02  0.0000000E+00  0.1134950E-26  0.8904737E-20 -0.1200000E+03  0.9205809E+01
  0.1000000E-01  0.9555896E-07  0.9540886E-05  0.7500192E+02  0.0000000E+00  0.2269900E-26  0.1780947E-19 -0.1200000E+03  0.9205809E+01
  0.1250000E-01  0.9540182E-07  0.9550883E-05  0.7499807E+02  0.0000000E+00 -0.4652891E-26 -0.3652002E-19 -0.1200000E+03  0.9205808E+01
  0.1500000E-01  0.1433134E-06  0.9553763E-05  0.7500192E+02  0.0000000E+00 -0.2334523E-26 -0.1823351E-19 -0.1200000E+03  0.9205808E+01
  0.1750000E-01  0.1431706E-06  0.9549530E-05  0.7499807E+02  0.0000000E+00 -0.2374913E-26 -0.1865754E-19 -0.1200000E+03  0.9205807E+01
  0.2000000E-01  0.1910610E-06  0.9538197E-05  0.7500192E+02  0.0000000E+00  0.2269900E-26  0.1780947E-19 -0.1200000E+03  0.9205807E+01
  0.2250000E-01  0.1908616E-06  0.9559734E-05  0.7499806E+02  0.0000000E+00  0.4669047E-26  0.3649351E-19 -0.1200000E+03  0.9205806E+01
  0.2500000E-01  0.2388597E-06  0.9534228E-05  0.7500193E+02  0.0000000E+00  0.4749826E-26  0.3731508E-19 -0.1200000E+03  0.9205805E+01
  0.2750000E-01  0.2385328E-06  0.9541618E-05  0.7499805E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03  0.9205805E+01
  0.3000000E-01  0.2865678E-06  0.9541955E-05  0.7500193E+02  0.0000000E+00 -0.4669047E-26 -0.3646701E-19 -0.1200000E+03  0.9205804E+01
  0.3250000E-01  0.2862425E-06  0.9535256E-05  0.7499805E+02  0.0000000E+00 -0.9338093E-26 -0.7293402E-19 -0.1200000E+03  0.9205804E+01
  0.3500000E-01  0.3342440E-06  0.9561492E-05  0.7500192E+02  0.0000000E+00 -0.1867619E-25 -0.1458680E-18 -0.1200000E+03  0.9205803E+01
  0.3750000E-01  0.3340500E-06  0.9540755E-05  0.7499806E+02  0.0000000E+00 -0.2791734E-25 -0.2188021E-18 -0.1200000E+03  0.9205803E+01
  0.4000000E-01  0.3819478E-06  0.9552983E-05  0.7500191E+02  0.0000000E+00 -0.9273470E-26 -0.7293403E-19 -0.1200000E+03  0.9205802E+01
  0.4250000E-01  0.3818149E-06  0.9558231E-05  0.7499806E+02  0.0000000E+00 -0.2791734E-25 -0.2188021E-18 -0.1200000E+03  0.9205802E+01
  0.4500000E-01  0.4297390E-06  0.9556519E-05  0.7500191E+02  0.0000000E+00 -0.4652891E-25 -0.3646701E-18 -0.1200000E+03  0.9205801E+01
  0.4750000E-01  0.4295975E-06  0.9547869E-05  0.7499806E+02  0.0000000E+00 -0.1026221E-24 -0.8039704E-18 -0.1200000E+03  0.9205801E+01
  0.5000000E-01  0.4774784E-06  0.9532313E-05  0.7500191E+02  0.0000000E+00 -0.9357480E-25 -0.7327325E-18 -0.1200000E+03  0.9205800E+01
  0.5250000E-01  0.4772591E-06  0.9549834E-05  0.7499805E+02  0.0000000E+00 -0.1401037E-24 -0.1094010E-17 -0.1200000E+03  0.9205799E+01
  0.5500000E-01  0.5252275E-06  0.9560492E-05  0.7500191E+02  0.0000000E+00 -0.1675041E-24 -0.1313661E-17 -0.1200000E+03  0.9205799E+01
  0.5750000E-01  0.5250615E-06  0.9564303E-05  0.7499805E+02  0.0000000E+00 -0.1669871E-24 -0.1312813E-17 -0.1200000E+03  0.9205798E+01
  0.6000000E-01  0.5730490E-06  0.9561297E-05  0.7500191E+02  0.0000000E+00  0.3879411E-20  0.3042416E-13 -0.1200000E+03  0.9205798E+01
  0.6250000E-01  0.5728680E-06  0.9551497E-05  0.7499805E+02  0.1902515E-22 -0.5548064E-21 -0.4347752E-14 -0.1200000E+03  0.9205797E+01
  0.6500000E-01  0.6208064E-06  0.9534948E-05  0.7500191E+02 -0.3308722E-23 -0.5548072E-21 -0.4352228E-14 -0.1200000E+03  0.9205797E+01
  0.6750000E-01  0.6205427E-06  0.9551644E-05  0.7499805E+02  0.1571643E-22 -0.5569236E-21 -0.4349515E-14 -0.1200000E+03  0.9205796E+01
  0.7000000E-01  0.6685647E-06  0.9561649E-05  0.7500191E+02 -0.5790264E-23 -0.5548072E-21 -0.4353625E-14 -0.1200000E+03  0.9205796E+01
  0.7250000E-01  0.6683509E-06  0.9564986E-05  0.7499805E+02  0.1406207E-22 -0.5548064E-21 -0.4352955E-14 -0.1200000E+03  0.9205795E+01
  0.7500000E-01  0.7163896E-06  0.9561692E-05  0.7500191E+02 -0.7651421E-23 -0.1105378E-20 -0.8704974E-14 -0.1200000E+03  0.9205795E+01
  0.7750000E-01  0.7161594E-06  0.9551800E-05  0.7499805E+02  0.8685396E-23 -0.1113848E-20 -0.8704330E-14 -0.1200000E+03  0.9205794E+01
  0.8000000E-01  0.7641486E-06  0.9535357E-05  0.7500191E+02 -0.1323489E-22  0.3320369E-20  0.2606363E-13 -0.1200000E+03  0.9205793E+01
  0.8250000E-01  0.7638362E-06  0.9552366E-05  0.7499804E+02  0.2481542E-22  0.2769798E-20  0.2171898E-13 -0.1200000E+03  0.9205793E+01
  0.8500000E-01  0.8119105E-06  0.9562897E-05  0.7500191E+02  0.0000000E+00 -0.6649209E-20 -0.5218115E-13 -0.1200000E+03  0.9205792E+01
  0.8750000E-01  0.8116507E-06  0.9566980E-05  0.7499804E+02 -0.9926167E-23 -0.2219226E-20 -0.1740963E-13 -0.1200000E+03  0.9205792E+01
  0.9000000E-01  0.8597453E-06  0.9564656E-05  0.7500191E+02 -0.1158053E-22 -0.6649209E-20 -0.5218460E-13 -0.1200000E+03  0.9205791E+01
  0.9250000E-01  0.8594739E-06  0.9555964E-05  0.7499804E+02 -0.4301339E-22  0.2209697E-20  0.1735309E-13 -0.1200000E+03  0.9205791E+01
  0.9500000E-01  0.9075251E-06  0.9540963E-05  0.7500191E+02 -0.1654361E-23  0.2205992E-20  0.1735621E-13 -0.1200000E+03  0.9205791E+01
  0.9750000E-01  0.9071787E-06  0.9559650E-05  0.7499803E+02 -0.3143286E-22 -0.6632268E-20 -0.5219370E-13 -0.1200000E+03  0.9205791E+01
  0.9999999E-01  0.9553235E-06  0.9532153E-05  0.7500192E+02 -0.3474159E-22  0.2211815E-20  0.1735652E-13 -0.1200000E+03  0.9205790E+01
  0.1025000E+00  0.9548395E-06  0.9538448E-05  0.7499802E+02 -0.1985233E-22 -0.3432719E-23 -0.2707782E-16 -0.1200000E+03  0.9205790E+01
  0.1050000E+00  0.1003016E-05  0.9538621E-05  0.7500192E+02 -0.3308722E-22 -0.3176648E-23 -0.2486117E-16 -0.1200000E+03  0.9205789E+01
  0.1075000E+00  0.1002533E-05  0.9532719E-05  0.7499802E+02 -0.1819797E-22 -0.1109613E-20 -0.8714377E-14 -0.1200000E+03  0.9205788E+01
  0.1100000E+00  0.1050679E-05  0.9560744E-05  0.7500191E+02 -0.3970467E-22 -0.5535360E-20 -0.4348905E-13 -0.1200000E+03  0.9205788E+01
  0.1125000E+00  0.1050337E-05  0.9542820E-05  0.7499803E+02 -0.4797648E-22  0.3318252E-20  0.2605848E-13 -0.1200000E+03  0.9205787E+01
  0.1150000E+00  0.1098394E-05  0.9558918E-05  0.7500191E+02 -0.2316106E-22  0.5509949E-20  0.4344805E-13 -0.1200000E+03  0.9205787E+01
  0.1175000E+00  0.1098131E-05  0.9529173E-05  0.7499804E+02 -0.1985233E-22 -0.3333075E-20 -0.2610264E-13 -0.1200000E+03  0.9205786E+01
  0.1200000E+00  0.1146039E-05  0.9533567E-05  0.7500190E+02 -0.3970467E-22  0.7741881E-20  0.6081503E-13 -0.1200000E+03  0.9205786E+01
  0.1225000E+00  0.1145799E-05  0.9532195E-05  0.7499804E+02  0.1876666E-22 -0.5539596E-20 -0.4350549E-13 -0.1200000E+03  0.9205785E+01
  0.1250000E+00  0.1193700E-05  0.9565058E-05  0.7500188E+02 -0.6617445E-22 -0.7741882E-20 -0.6091277E-13 -0.1200000E+03  0.9205785E+01
  0.1275000E+00  0.1193624E-05  0.9552286E-05  0.7499805E+02 -0.1985233E-22  0.6649209E-20  0.5210685E-13 -0.1200000E+03  0.9205784E+01
  0.1300000E+00  0.1241462E-05  0.9533898E-05  0.7500188E+02 -0.3474159E-22 -0.7246312E-23 -0.5690381E-16 -0.1200000E+03  0.9205784E+01
  0.1325000E+00  0.1241294E-05  0.9549916E-05  0.7499804E+02 -0.1985233E-22 -0.6649208E-20 -0.5221250E-13 -0.1200000E+03  0.9205783E+01
  0.1350000E+00  0.1289211E-05  0.9560432E-05  0.7500188E+02 -0.6948317E-22 -0.6717611E-23 -0.5257017E-16 -0.1200000E+03  0.9205782E+01
  0.1375000E+00  0.1289096E-05  0.9565492E-05  0.7499804E+02 -0.2316106E-22 -0.6640738E-20 -0.5219334E-13 -0.1200000E+03  0.9205782E+01
  0.1400000E+00  0.1337039E-05  0.9565158E-05  0.7500188E+02 -0.1058791E-21 -0.5421012E-20 -0.4249746E-13 -0.1200000E+03  0.9205781E+01
  0.1425000E+00  0.1336922E-05  0.9559482E-05  0.7499804E+02 -0.5293956E-22  0.4468100E-21  0.3512905E-14 -0.1200000E+03  0.9205781E+01
  0.1450000E+00  0.1384836E-05  0.9548538E-05  0.7500188E+02 -0.1058791E-21  0.1998997E-20  0.1566190E-13 -0.1200000E+03  0.9205780E+01
  0.1475000E+00  0.1384664E-05  0.9532391E-05  0.7499804E+02 -0.4632211E-22  0.3269548E-20  0.2563419E-13 -0.1200000E+03  0.9205780E+01
  0.1500000E+00  0.1432498E-05  0.9551070E-05  0.7500188E+02 -0.8602678E-22 -0.5068645E-19 -0.3976635E-12 -0.1200000E+03  0.9205779E+01
  0.1525000E+00  0.1432420E-05  0.9564665E-05  0.7499804E+02 -0.2977850E-21 -0.1631386E-19 -0.1279334E-12 -0.1200000E+03  0.9205779E+01
